blog_id,nickname,blog_title,group_name,buddy_type,added_date,last_post_date,is_grace_period
simsoyul,토토MOM,토토맘의 소소한 일상:),좋아요,서로이웃,26.08.26.,26.08.18.,Y
salarymanofgod,의식주,맛집가고 투자하는 의식주 여행,안한놈,서로이웃,26.08.26.,26.08.26.,Y
miniming01,쪼리미니쮸,인천 송도에서 아기랑,안한놈,서로이웃,26.08.26.,26.08.26.,Y
95ojh,오지,오지로운 세상,안한놈,서로이웃,26.08.26.,26.08.25.,Y
genesis_000,연유,"괜찮아, 맛집이야",안한놈,서로이웃,26.08.26.,26.08.19.,Y
korean550,위대한 한국인,위大한 한국인,안한놈,서로이웃,26.08.26.,26.08.18.,Y
82gjtkddn,성실자원01099711514,서울/경기 폐기물처리 성실자원,안한놈,서로이웃,26.08.26.,26.08.18.,Y
maylini,미쁘다,꼬리치는 하루,안한놈,서로이웃,26.08.26.,26.08.18.,Y
ohwayaho,김딸,딸이랑 엄마랑 후기를,안한놈,서로이웃,26.08.25.,26.08.26.,Y
qkrrjs990408,지온,지온의 일상,안한놈,서로이웃,26.08.25.,26.08.26.,Y
qaaz3355,쭈공주,✩ 행복한 일상 모음집 ✩,안한놈,서로이웃,26.08.25.,26.08.25.,Y
koreastandardgold,한국표준순금거래소,한국표준순금거래소,사기꾼,서로이웃,26.08.26.,26.08.20.,Y
tndtkd123,고니,돌아다니면서 얼마나 먹는 고니?,사기꾼,서로이웃,26.08.26.,26.08.18.,Y
zzyubbyu,쮸쀼,주주부부,사기꾼,서로이웃,26.08.26.,26.08.18.,Y
yorckong1,신블링,세상엔 맛있는게 너무많아♡,사기꾼,서로이웃,26.08.26.,26.08.14.,Y
hjl101076,두부와 함께,이웃집의블로그,사기꾼,서로이웃,26.08.26.,26.08.14.,Y
gook322,구갱이,구갱이의 일상 짭짭,사기꾼,서로이웃,26.08.26.,26.08.14.,Y
parkyong135,하티아,하티아,사기꾼,서로이웃,26.08.26.,26.08.14.,Y
chika_wang,블랑쉬치과의원,치과왕,사기꾼,서로이웃,26.08.26.,26.08.13.,Y
blanche_clinic,블랑쉬치과의원,블랑쉬치과의원,사기꾼,서로이웃,26.08.26.,26.08.13.,Y
akdlsemtpt,포레니티,뽈뽈거리는엔티제의블로그,사기꾼,서로이웃,26.08.25.,26.08.26.,Y
oii__oii,OII오이이,"여기스테이 , OII 오이이",사기꾼,서로이웃,26.08.25.,26.08.26.,Y
peachwithcake,백도희,대학생 모여라 -ˋˏ ♡ ˎˊ- 공주들의 갓생노트,사기꾼,서로이웃,26.08.25.,26.08.20.,Y
yumdyang_pick_,윰댱,yumdyang_pick_님의 블로그,사기꾼,서로이웃,26.08.25.,26.08.18.,Y
everything-902,냥,일단 가볼게요,사기꾼,서로이웃,26.08.25.,26.08.14.,Y
goompal,평안행정사,평안 행정사사무소 010.2314.0364,사기꾼,서로이웃,26.08.12.,26.08.26.,N
